ec_name,g_name,0
common,a0_m,0.47343527967861254
common,b0_m,1.0107395579950595
common,delta_m,0.7779711159637034
common,s_m,0.14708996853108872
common,tau_m_const,0.15880041428438035
common,a0_h,0.21980594019317795
common,b0_h,0.3061462556372611
common,delta_h,0.12720375337221804
common,s_h,0.4669480641864353
common,tau_h_const,1.6477716106026183
common,a0_j,0.5583414669606985
common,b0_j,1.5699650581851075
common,delta_j,0.7800693744902617
common,s_j,1.3095109157030413
common,tau_j_const,0.10926530567041073
common,v_half_h,64.00845500439245
common,v_half_m,22.074331486985674
common,k_h,11.227620034096667
common,k_m,6.199545379871696
individual,c_m,1.1208248625892325
individual,R,9.927786693394891
individual,g_max,3.828901518746151
individual,g_leak,1.1359581451105334
individual,x_c_comp,0.8545402905861939
individual,x_r_comp,7.463141845979796
individual,alpha,0.7528133530261716
individual,v_rev,41.04600687467826
individual,tau_z,2.3737050723310076
