t,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14
0.00185,-23.8037,-66.8335,-91.2476,-182.8,-130.92,-182.495,-309.143,-238.342,-143.433,-113.831,-187.683,-87.5854,-90.332,-131.836,-96.7407
0.0019,-23.8037,-66.2231,-91.5527,-183.105,-130.615,-182.8,-308.533,-238.342,-142.822,-113.22,-187.988,-87.5854,-89.7217,-131.531,-97.0459
0.00195,-24.1089,-66.5283,-91.8579,-184.021,-130.92,-182.495,-308.533,-238.647,-143.433,-113.22,-187.988,-87.2803,-89.4165,-130.92,-96.7407
0.002,-23.4985,-66.2231,-91.8579,-183.411,-130.92,-182.495,-308.533,-238.342,-143.433,-112.915,-187.683,-86.6699,-88.1958,-130.615,-96.7407
0.00205,-24.1089,-65.6128,-92.1631,-184.021,-130.31,-181.885,-308.228,-238.342,-143.127,-112.61,-187.378,-86.0596,-87.5854,-130.31,-97.0459
0.0021,-23.8037,-65.6128,-91.5527,-184.937,-130.615,-181.274,-308.228,-238.647,-143.433,-112.61,-187.378,-85.4492,-87.2803,-130.005,-96.7407
0.00215,-23.8037,-65.6128,-91.2476,-184.937,-130.615,-180.664,-308.228,-238.647,-143.433,-112,-187.073,-85.144,-86.9751,-130.005,-96.1304
0.0022,-23.8037,-65.918,-90.9424,-185.242,-130.005,-180.359,-308.533,-238.953,-143.738,-112,-186.462,-84.8389,-86.6699,-129.089,-96.1304
0.00225,-23.8037,-65.0024,-90.332,-185.547,-129.395,-179.749,-307.922,-239.258,-144.043,-112,-185.547,-84.2285,-86.3647,-128.479,-95.8252
0.0023,-24.4141,-65.0024,-89.7217,-185.242,-129.089,-179.443,-307.922,-239.563,-144.348,-111.389,-185.547,-84.2285,-86.0596,-127.563,-95.52
0.00235,-24.4141,-64.6973,-89.1113,-185.547,-129.089,-179.138,-307.922,-239.258,-144.043,-111.084,-185.242,-83.9233,-86.3647,-127.258,-95.52
0.0024,-25.3296,-64.6973,-88.1958,-185.547,-128.174,-179.443,-307.922,-239.563,-143.738,-110.474,-185.242,-84.2285,-86.6699,-127.258,-95.52
0.00245,-25.3296,-64.3921,-87.5854,-184.937,-127.563,-178.528,-307.922,-239.563,-143.738,-110.474,-184.937,-84.2285,-86.3647,-126.953,-95.2148
0.0025,-25.0244,-64.3921,-86.9751,-184.631,-127.258,-178.528,-307.922,-239.563,-144.043,-110.779,-184.631,-84.2285,-86.3647,-126.343,-95.2148
0.00255,-24.7192,-64.6973,-86.9751,-184.937,-127.258,-178.528,-307.617,-239.258,-143.738,-110.168,-184.326,-84.5337,-86.3647,-126.038,-95.52
0.0026,-25.3296,-65.0024,-86.0596,-184.326,-127.258,-178.528,-308.228,-239.258,-143.127,-110.168,-184.326,-84.5337,-86.6699,-125.732,-95.2148
0.00265,-24.7192,-65.3076,-85.7544,-183.716,-127.563,-178.833,-307.922,-239.868,-143.127,-110.474,-183.716,-84.8389,-86.6699,-125.732,-95.2148
0.0027,-24.4141,-65.0024,-85.144,-183.411,-127.258,-178.833,-307.922,-239.868,-143.127,-110.779,-183.716,-84.5337,-86.3647,-126.038,-95.52
0.00275,-24.1089,-65.3076,-84.8389,-182.495,-126.953,-179.443,-307.617,-239.563,-142.212,-110.779,-183.716,-84.5337,-86.0596,-125.732,-95.52
0.0028,-24.1089,-65.6128,-84.2285,-182.19,-126.648,-179.749,-307.312,-239.868,-141.296,-110.779,-183.716,-84.8389,-86.0596,-125.732,-96.1304
0.00285,-24.1089,-66.2231,-83.313,-181.885,-126.953,-180.664,-307.617,-240.173,-140.991,-110.779,-184.021,-85.144,-86.3647,-125.732,-96.1304
0.0029,-23.4985,-66.2231,-82.7026,-181.58,-126.343,-180.664,-307.617,-240.173,-140.381,-111.084,-184.021,-84.8389,-86.0596,-126.343,-95.8252
0.00295,-23.4985,-66.2231,-82.0923,-181.274,-125.732,-180.359,-307.312,-240.173,-139.771,-111.084,-183.716,-85.144,-85.7544,-126.038,-95.8252
0.003,-23.8037,-66.8335,-81.7871,-180.664,-125.427,-180.664,-307.312,-240.479,-139.465,-110.474,-183.716,-85.4492,-86.0596,-126.648,-95.8252
0.00305,-23.1934,-67.1387,-80.5664,-180.969,-125.122,-180.359,-307.617,-240.173,-138.855,-110.168,-184.021,-86.0596,-86.3647,-126.648,-95.8252
0.0031,-23.1934,-67.4438,-79.9561,-180.359,-124.207,-180.359,-307.922,-240.479,-138.55,-109.863,-184.021,-85.4492,-86.6699,-126.648,-95.52
0.00315,-23.4985,-67.4438,-79.3457,-180.054,-123.596,-180.359,-307.617,-240.479,-138.55,-109.558,-183.411,-86.0596,-86.3647,-126.953,-95.52
0.0032,-23.1934,-67.1387,-79.0405,-179.138,-122.986,-180.359,-307.922,-240.173,-138.855,-108.948,-183.716,-85.7544,-86.0596,-126.953,-95.52
0.00325,-23.4985,-67.1387,-78.7354,-178.833,-122.07,-180.359,-308.228,-240.173,-138.55,-108.337,-184.021,-85.4492,-86.0596,-126.648,-95.8252
0.0033,-23.8037,-67.4438,-78.125,-177.917,-121.765,-180.054,-308.838,-240.479,-139.16,-108.337,-183.716,-85.4492,-86.0596,-126.953,-95.8252
0.00335,-23.4985,-67.749,-77.8198,-177.002,-121.155,-180.054,-309.448,-240.784,-139.465,-107.727,-183.411,-85.4492,-86.3647,-127.258,-95.52
0.0034,-23.4985,-67.1387,-77.2095,-176.086,-120.239,-179.749,-309.448,-240.173,-139.16,-107.117,-182.8,-85.144,-85.7544,-127.258,-95.8252
0.00345,-23.1934,-66.5283,-76.9043,-175.476,-119.934,-179.749,-309.143,-240.479,-139.771,-107.117,-182.495,-84.8389,-85.7544,-126.953,-96.4355
0.0035,-23.8037,-66.8335,-76.2939,-174.866,-119.934,-180.054,-309.753,-240.173,-139.465,-106.812,-182.495,-85.144,-86.0596,-127.258,-96.1304
0.00355,-23.8037,-66.2231,-75.3784,-174.866,-119.629,-180.054,-310.364,-240.784,-140.076,-106.201,-182.19,-85.144,-86.0596,-127.258,-96.1304
0.0036,-23.1934,-65.6128,-74.7681,-173.95,-119.629,-179.749,-310.364,-240.479,-140.076,-106.201,-181.58,-85.144,-85.7544,-127.563,-96.4355
0.00365,-23.1934,-65.0024,-74.4629,-173.95,-119.324,-180.054,-310.364,-240.479,-140.686,-105.896,-181.58,-85.4492,-85.4492,-127.869,-96.4355
0.0037,-23.4985,-64.6973,-73.5474,-173.645,-119.629,-180.359,-310.669,-240.479,-140.686,-105.286,-181.885,-85.7544,-85.4492,-127.869,-96.4355
0.00375,-23.1934,-64.0869,-72.937,-173.645,-119.934,-180.664,-310.669,-240.479,-140.381,-105.591,-182.19,-86.3647,-85.4492,-128.174,-96.1304
0.0038,-23.1934,-63.7817,-72.3267,-173.34,-119.934,-180.969,-311.279,-240.173,-140.381,-105.896,-182.19,-86.9751,-85.4492,-128.479,-96.1304
0.00385,-22.8882,-63.1714,-72.0215,-173.645,-120.239,-180.969,-311.279,-240.173,-140.381,-105.896,-182.495,-87.2803,-85.144,-129.089,-96.1304
0.0039,-22.8882,-62.8662,-71.7163,-173.34,-120.544,-181.274,-311.584,-240.173,-140.686,-106.201,-182.19,-87.2803,-85.144,-128.784,-96.4355
0.00395,-22.8882,-62.8662,-71.4111,-172.729,-120.239,-181.58,-312.195,-239.563,-139.465,-106.506,-182.495,-87.8906,-85.144,-129.395,-96.7407
0.004,-23.1934,-62.8662,-70.8008,-172.729,-119.934,-181.274,-312.805,-239.868,-139.16,-106.506,-182.495,-88.1958,-85.144,-129.7,-96.7407
0.00405,-22.8882,-62.561,-69.8853,-171.814,-119.019,-181.274,-312.805,-239.868,-138.855,-107.117,-181.885,-87.8906,-84.2285,-130.615,-96.7407
0.0041,-22.8882,-62.2559,-69.8853,-171.204,-118.713,-180.969,-312.805,-239.258,-138.245,-107.727,-181.58,-87.8906,-84.2285,-130.615,-97.0459
0.00415,-22.8882,-62.2559,-69.5801,-170.898,-118.408,-180.664,-312.5,-239.258,-137.634,-108.032,-181.58,-88.1958,-83.313,-130.92,-97.3511
0.0042,-23.1934,-62.561,-68.9697,-170.593,-117.798,-180.664,-311.584,-239.258,-137.329,-108.337,-181.274,-88.1958,-83.0078,-131.531,-97.0459
0.00425,-23.4985,-62.8662,-68.6646,-169.373,-117.493,-180.054,-311.89,-239.258,-137.024,-108.948,-180.969,-88.1958,-82.7026,-131.531,-97.0459
0.0043,-23.1934,-62.2559,-68.0542,-168.762,-117.188,-179.443,-311.279,-239.868,-137.024,-109.863,-180.969,-88.1958,-81.7871,-132.446,-97.3511
0.00435,-23.1934,-62.8662,-68.0542,-167.847,-116.272,-179.443,-310.669,-239.868,-136.719,-109.863,-181.274,-87.8906,-81.4819,-132.446,-97.0459
0.0044,-23.4985,-62.561,-67.749,-167.236,-116.272,-179.138,-310.669,-239.868,-136.414,-110.474,-180.664,-87.8906,-81.1768,-132.141,-97.0459
0.00445,-23.4985,-62.8662,-67.4438,-166.931,-116.272,-178.833,-310.669,-240.173,-136.719,-110.779,-180.969,-88.1958,-81.4819,-132.141,-97.0459
0.0045,-22.8882,-63.1714,-67.749,-166.321,-115.967,-178.223,-310.669,-240.479,-136.414,-111.084,-181.274,-87.8906,-81.1768,-132.446,-97.0459
0.00455,-22.583,-63.1714,-67.749,-166.016,-115.356,-177.612,-310.669,-239.868,-137.329,-111.389,-180.969,-87.2803,-80.5664,-132.141,-97.0459
0.0046,-22.8882,-63.1714,-68.0542,-166.321,-114.746,-177.612,-310.059,-239.563,-137.329,-111.694,-181.274,-87.5854,-80.5664,-131.531,-97.0459
0.00465,-23.1934,-63.4766,-68.6646,-166.931,-114.441,-177.612,-310.059,-239.563,-137.024,-111.694,-181.885,-87.5854,-80.2612,-131.836,-96.7407
0.0047,-22.8882,-63.4766,-68.3594,-167.236,-113.831,-177.307,-310.364,-238.953,-137.939,-112,-181.885,-86.9751,-79.6509,-132.141,-96.7407
0.00475,-22.583,-63.4766,-68.3594,-167.847,-112.915,-177.002,-310.669,-239.563,-138.245,-111.694,-181.885,-86.3647,-79.3457,-131.836,-97.0459
