t,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19
0.00125,-52.4902,-37.2314,-61.6455,-28.3813,-26.5503,-32.959,-32.6538,-26.2451,-42.1143,-28.9917,-31.7383,-34.1797,-25.0244,-37.5366,-32.0435,-30.2124,-32.959,-31.7383,-36.6211,-48.8281
0.0013,-52.7954,-37.2314,-61.9507,-28.0762,-25.9399,-32.6538,-32.959,-25.9399,-41.5039,-29.2969,-31.4331,-33.5693,-25.0244,-37.5366,-32.3486,-30.5176,-33.2642,-31.7383,-37.5366,-48.5229
0.00135,-52.7954,-37.2314,-61.6455,-27.771,-26.5503,-32.6538,-32.959,-25.9399,-42.1143,-29.2969,-31.7383,-33.8745,-24.4141,-37.8418,-32.6538,-30.5176,-32.959,-32.0435,-36.9263,-48.2178
0.0014,-52.4902,-36.9263,-61.9507,-27.771,-26.5503,-32.6538,-32.6538,-25.6348,-41.5039,-29.2969,-31.7383,-33.2642,-24.7192,-37.8418,-32.0435,-30.2124,-32.3486,-32.3486,-36.9263,-48.2178
0.00145,-52.4902,-36.6211,-61.3403,-27.4658,-26.5503,-32.6538,-32.959,-25.6348,-42.1143,-29.2969,-31.1279,-33.5693,-24.4141,-37.8418,-32.3486,-30.5176,-32.959,-32.3486,-36.9263,-47.6074
0.0015,-52.4902,-36.9263,-61.9507,-27.771,-26.5503,-32.3486,-32.6538,-25.9399,-41.1987,-28.6865,-30.8228,-33.5693,-24.1089,-37.8418,-32.3486,-30.2124,-32.959,-32.3486,-36.9263,-47.9126
0.00155,-52.1851,-36.6211,-61.9507,-27.1606,-25.9399,-32.3486,-32.6538,-25.6348,-40.8936,-29.6021,-30.5176,-33.5693,-24.4141,-37.2314,-32.6538,-30.2124,-32.6538,-32.6538,-37.2314,-47.3022
0.0016,-51.8799,-36.6211,-61.6455,-27.4658,-25.9399,-32.959,-32.6538,-25.9399,-40.5884,-29.6021,-30.8228,-33.5693,-24.1089,-37.5366,-32.6538,-29.6021,-32.959,-32.6538,-36.9263,-47.3022
0.00165,-51.8799,-36.3159,-61.9507,-27.4658,-25.9399,-32.959,-32.0435,-25.3296,-40.5884,-29.6021,-29.9072,-33.5693,-24.4141,-37.8418,-32.6538,-29.6021,-32.0435,-32.0435,-36.9263,-47.9126
0.0017,-51.2695,-36.0107,-62.2559,-27.4658,-26.2451,-33.2642,-32.6538,-25.9399,-40.5884,-29.6021,-30.2124,-33.2642,-24.1089,-37.5366,-32.6538,-29.6021,-32.959,-31.7383,-36.6211,-47.6074
0.00175,-51.5747,-36.6211,-61.9507,-27.4658,-25.6348,-32.6538,-32.3486,-25.9399,-39.978,-29.2969,-30.8228,-32.6538,-24.7192,-37.5366,-32.0435,-29.2969,-32.6538,-31.1279,-36.6211,-47.9126
0.0018,-51.2695,-36.3159,-61.3403,-27.4658,-25.6348,-32.959,-31.7383,-25.6348,-40.5884,-29.2969,-30.8228,-33.2642,-25.0244,-37.5366,-32.3486,-28.9917,-32.959,-31.7383,-36.3159,-47.6074
0.00185,-51.5747,-36.0107,-61.6455,-27.4658,-25.6348,-33.2642,-32.0435,-25.6348,-39.978,-28.9917,-30.8228,-33.2642,-25.0244,-38.147,-31.7383,-28.6865,-32.6538,-31.1279,-36.3159,-47.6074
0.0019,-51.5747,-36.3159,-61.0352,-27.4658,-25.6348,-32.959,-31.7383,-25.6348,-40.5884,-29.2969,-30.5176,-33.2642,-25.0244,-37.8418,-32.0435,-28.9917,-32.3486,-31.4331,-36.3159,-47.9126
0.00195,-51.8799,-36.3159,-61.6455,-27.771,-25.9399,-32.959,-32.0435,-25.9399,-40.8936,-28.9917,-30.8228,-33.2642,-25.0244,-37.8418,-32.3486,-29.2969,-32.6538,-31.4331,-36.0107,-48.2178
0.002,-52.1851,-36.3159,-61.3403,-27.771,-25.6348,-31.7383,-31.7383,-25.6348,-40.5884,-29.2969,-30.8228,-32.959,-25.0244,-38.147,-31.7383,-28.9917,-32.3486,-32.0435,-36.6211,-48.2178
0.00205,-52.1851,-36.9263,-61.6455,-27.1606,-25.9399,-32.0435,-32.0435,-25.9399,-40.8936,-29.6021,-31.4331,-33.5693,-24.4141,-37.8418,-32.0435,-29.2969,-32.3486,-32.0435,-36.3159,-48.2178
0.0021,-52.4902,-36.3159,-61.6455,-27.4658,-25.6348,-32.0435,-32.3486,-25.9399,-40.8936,-29.6021,-31.1279,-32.959,-25.3296,-38.4521,-31.4331,-29.2969,-31.7383,-32.0435,-36.9263,-48.8281
0.00215,-52.1851,-36.9263,-61.9507,-27.771,-25.9399,-32.3486,-32.0435,-25.6348,-40.8936,-29.6021,-30.8228,-33.2642,-24.4141,-37.8418,-32.0435,-30.2124,-31.7383,-32.0435,-36.6211,-48.8281
0.0022,-52.1851,-37.2314,-62.2559,-28.0762,-25.9399,-32.3486,-32.3486,-26.2451,-40.5884,-29.2969,-30.8228,-33.2642,-24.7192,-38.147,-32.0435,-30.2124,-32.0435,-31.4331,-37.2314,-48.8281
0.00225,-52.4902,-37.2314,-61.9507,-28.3813,-25.6348,-32.3486,-31.7383,-25.9399,-40.8936,-29.6021,-30.5176,-33.2642,-25.0244,-38.147,-32.3486,-30.5176,-31.7383,-32.0435,-37.2314,-48.5229
0.0023,-51.8799,-37.2314,-61.9507,-28.0762,-26.2451,-32.6538,-31.7383,-26.2451,-40.5884,-29.6021,-30.5176,-33.2642,-24.7192,-37.8418,-32.0435,-30.5176,-32.0435,-31.7383,-37.2314,-48.5229
0.00235,-52.1851,-37.2314,-61.6455,-28.6865,-26.5503,-32.6538,-31.7383,-26.5503,-40.5884,-28.9917,-30.2124,-32.6538,-25.0244,-38.147,-32.0435,-30.2124,-32.0435,-31.4331,-37.2314,-48.5229
0.0024,-51.8799,-37.2314,-61.9507,-28.0762,-26.5503,-32.959,-32.0435,-26.2451,-40.2832,-29.6021,-30.5176,-32.959,-24.4141,-37.5366,-32.0435,-30.5176,-32.0435,-31.1279,-36.9263,-48.5229
0.00245,-51.8799,-36.9263,-61.3403,-28.6865,-26.2451,-32.6538,-32.0435,-26.5503,-39.978,-29.6021,-30.8228,-32.3486,-24.7192,-37.5366,-32.3486,-30.8228,-32.3486,-31.1279,-37.2314,-48.2178
0.0025,-51.8799,-36.9263,-61.6455,-28.3813,-25.9399,-32.959,-32.0435,-25.9399,-40.5884,-29.6021,-30.8228,-33.2642,-25.0244,-36.9263,-32.3486,-30.5176,-32.3486,-31.1279,-36.6211,-47.6074
0.00255,-51.5747,-36.0107,-61.6455,-28.3813,-25.9399,-33.2642,-31.7383,-26.2451,-40.5884,-29.9072,-31.1279,-33.2642,-24.4141,-37.5366,-32.6538,-30.5176,-32.3486,-30.8228,-36.9263,-47.9126
0.0026,-51.5747,-36.3159,-61.3403,-28.6865,-25.6348,-33.5693,-31.1279,-26.2451,-40.5884,-30.2124,-30.8228,-32.959,-24.7192,-37.5366,-32.0435,-30.2124,-32.3486,-31.1279,-36.6211,-47.9126
0.00265,-51.2695,-36.3159,-61.9507,-28.3813,-26.2451,-33.2642,-31.4331,-26.2451,-40.8936,-29.9072,-30.8228,-33.2642,-24.1089,-37.2314,-32.0435,-30.2124,-32.6538,-30.8228,-36.3159,-47.3022
0.0027,-51.8799,-36.0107,-61.6455,-28.6865,-25.6348,-32.6538,-31.1279,-25.9399,-40.8936,-29.6021,-30.8228,-33.2642,-24.7192,-37.5366,-32.0435,-29.6021,-32.6538,-30.8228,-36.3159,-46.9971
0.00275,-51.8799,-36.0107,-61.6455,-28.6865,-25.9399,-32.959,-31.4331,-25.6348,-41.1987,-30.2124,-31.1279,-33.5693,-24.4141,-37.2314,-32.0435,-29.2969,-32.3486,-30.8228,-35.7056,-46.9971
0.0028,-52.1851,-35.7056,-61.6455,-28.6865,-26.2451,-32.6538,-31.1279,-25.9399,-40.8936,-29.9072,-30.8228,-33.2642,-24.7192,-37.5366,-31.7383,-29.2969,-32.3486,-30.8228,-36.0107,-47.3022
0.00285,-52.1851,-36.0107,-61.9507,-28.6865,-25.9399,-32.6538,-31.4331,-25.9399,-41.1987,-29.9072,-31.1279,-33.2642,-24.4141,-36.6211,-31.7383,-28.9917,-32.6538,-31.1279,-36.0107,-46.9971
0.0029,-52.1851,-36.0107,-61.3403,-28.0762,-26.2451,-32.3486,-30.8228,-25.9399,-40.8936,-29.6021,-31.1279,-33.5693,-24.4141,-36.9263,-32.0435,-29.2969,-32.0435,-31.1279,-36.3159,-47.6074
0.00295,-52.4902,-36.0107,-61.3403,-28.0762,-25.9399,-32.0435,-30.8228,-26.2451,-40.8936,-29.9072,-30.8228,-33.5693,-24.7192,-37.2314,-31.7383,-28.9917,-32.0435,-31.7383,-36.3159,-47.3022
0.003,-52.4902,-35.7056,-60.73,-27.771,-26.5503,-32.3486,-31.1279,-25.9399,-41.1987,-29.9072,-30.8228,-33.8745,-24.1089,-37.2314,-31.7383,-28.9917,-31.4331,-31.7383,-36.0107,-47.3022
0.00305,-52.7954,-36.0107,-61.0352,-27.771,-26.5503,-32.0435,-30.8228,-26.5503,-40.5884,-29.9072,-30.8228,-32.959,-24.1089,-37.2314,-31.7383,-28.9917,-31.7383,-31.7383,-36.3159,-47.9126
0.0031,-52.4902,-36.0107,-60.4248,-28.0762,-26.5503,-32.0435,-31.4331,-26.5503,-40.8936,-29.6021,-30.8228,-33.2642,-24.4141,-36.9263,-32.0435,-29.2969,-32.0435,-31.4331,-36.6211,-47.6074
0.00315,-52.7954,-36.0107,-60.73,-27.771,-26.5503,-31.7383,-31.1279,-26.8555,-40.2832,-29.6021,-31.1279,-32.959,-24.7192,-37.5366,-32.0435,-29.6021,-32.0435,-31.4331,-36.9263,-47.9126
0.0032,-53.1006,-36.0107,-61.0352,-28.3813,-26.5503,-32.3486,-31.4331,-26.8555,-40.8936,-29.9072,-31.1279,-32.959,-25.0244,-37.5366,-31.7383,-29.2969,-31.7383,-31.7383,-36.3159,-48.2178
0.00325,-52.7954,-35.7056,-61.3403,-28.0762,-26.8555,-32.3486,-31.1279,-26.5503,-40.8936,-29.6021,-31.1279,-33.2642,-24.4141,-37.5366,-31.7383,-29.6021,-31.4331,-31.7383,-36.3159,-47.9126
0.0033,-52.7954,-36.0107,-61.3403,-28.6865,-27.1606,-32.6538,-31.7383,-26.8555,-40.8936,-29.6021,-30.5176,-32.959,-24.7192,-37.8418,-32.0435,-30.2124,-31.7383,-31.7383,-36.9263,-47.9126
0.00335,-52.4902,-35.7056,-61.6455,-28.6865,-27.1606,-32.3486,-31.4331,-26.8555,-40.5884,-29.9072,-31.4331,-33.2642,-24.7192,-37.2314,-32.0435,-29.9072,-31.7383,-31.4331,-37.2314,-47.6074
0.0034,-52.7954,-36.0107,-61.9507,-28.3813,-27.1606,-32.3486,-31.4331,-26.8555,-40.5884,-29.6021,-31.1279,-32.959,-25.0244,-37.8418,-32.3486,-29.6021,-32.0435,-31.7383,-36.9263,-47.9126
0.00345,-52.4902,-35.7056,-61.3403,-28.9917,-26.8555,-32.6538,-31.1279,-26.5503,-40.5884,-30.2124,-31.1279,-33.2642,-25.0244,-37.5366,-31.7383,-29.6021,-31.7383,-31.1279,-36.6211,-47.6074
0.0035,-52.1851,-36.0107,-61.9507,-28.6865,-27.1606,-32.3486,-31.4331,-26.5503,-40.5884,-29.9072,-31.1279,-32.959,-24.7192,-37.8418,-32.0435,-29.9072,-32.0435,-31.4331,-37.2314,-48.2178
0.00355,-52.4902,-36.0107,-61.6455,-28.9917,-26.5503,-32.6538,-31.4331,-26.5503,-40.5884,-29.9072,-31.1279,-32.959,-25.0244,-37.8418,-32.0435,-30.5176,-31.7383,-31.1279,-36.9263,-48.2178
0.0036,-52.4902,-36.0107,-61.6455,-28.9917,-26.5503,-32.6538,-31.1279,-25.9399,-40.5884,-29.6021,-31.7383,-32.6538,-24.7192,-37.2314,-32.3486,-29.9072,-32.3486,-31.4331,-36.9263,-47.9126
0.00365,-52.7954,-35.7056,-61.6455,-28.6865,-26.5503,-32.6538,-31.4331,-25.9399,-40.5884,-29.6021,-31.1279,-32.3486,-25.3296,-37.8418,-32.3486,-29.9072,-31.7383,-31.7383,-36.6211,-48.2178
0.0037,-52.4902,-35.4004,-61.3403,-28.6865,-26.8555,-33.2642,-30.8228,-25.9399,-40.5884,-29.9072,-31.7383,-32.959,-25.0244,-37.2314,-31.7383,-29.6021,-32.0435,-31.4331,-36.3159,-47.9126
0.00375,-52.1851,-36.0107,-61.6455,-28.6865,-26.5503,-32.959,-31.1279,-25.6348,-40.2832,-29.6021,-31.7383,-32.3486,-24.7192,-37.5366,-32.3486,-29.6021,-32.0435,-31.4331,-36.6211,-48.2178
0.0038,-51.8799,-36.0107,-61.6455,-28.6865,-26.2451,-32.959,-30.8228,-25.6348,-40.5884,-29.2969,-31.1279,-32.959,-25.3296,-36.9263,-32.0435,-29.6021,-32.0435,-31.1279,-36.3159,-47.9126
0.00385,-51.8799,-36.0107,-61.9507,-28.3813,-26.2451,-32.3486,-31.1279,-25.3296,-40.5884,-29.2969,-31.1279,-33.2642,-25.0244,-37.2314,-32.3486,-28.9917,-32.0435,-31.4331,-36.6211,-47.9126
0.0039,-51.8799,-35.4004,-61.3403,-28.0762,-26.5503,-32.6538,-30.8228,-25.3296,-40.8936,-29.9072,-30.8228,-33.2642,-25.3296,-36.9263,-32.0435,-28.6865,-31.7383,-31.4331,-36.9263,-47.9126
0.00395,-44.2505,-28.0762,-54.0161,-20.752,-19.2261,-25.0244,-23.8037,-18.0054,-33.8745,-22.2778,-23.4985,-25.9399,-17.0898,-28.6865,-23.8037,-20.752,-24.1089,-24.1089,-28.9917,-40.2832
0.004,-8.23975,7.01904,-17.0898,15.564,17.0898,11.2915,12.207,18.0054,2.74658,14.3433,13.1226,10.6812,19.2261,7.32422,12.207,15.2588,12.207,12.8174,7.32422,-3.96729
0.00405,38.4521,54.3213,28.6865,61.6455,63.7817,57.9834,59.5093,64.3921,48.8281,60.73,59.5093,57.0679,65.918,54.6265,59.2041,62.561,58.5938,59.8145,54.6265,43.0298
0.0041,74.7681,90.6372,65.918,97.6563,100.403,94.9097,95.8252,100.708,85.144,97.3511,96.7407,93.689,103.149,91.5527,96.4355,100.098,95.8252,96.4355,91.2476,79.9561
0.00415,94.2993,109.863,84.8389,116.577,119.934,113.525,115.967,119.934,104.37,116.272,116.272,112.915,122.375,111.084,115.967,119.324,114.746,116.577,110.474,99.1821
0.0042,96.1304,111.084,86.6699,117.798,121.765,115.662,117.798,121.46,105.896,118.713,118.103,115.051,124.512,113.22,118.408,121.46,116.882,118.408,112.61,101.624
0.00425,85.7544,100.708,76.2939,106.812,111.084,104.675,107.422,111.084,95.8252,107.727,107.422,104.675,113.525,102.234,107.422,110.779,105.896,107.727,101.624,90.9424
0.0043,67.749,82.3975,57.9834,88.8062,93.0786,86.6699,88.8062,92.7734,78.125,89.7217,89.4165,86.3647,95.2148,83.6182,89.1113,92.7734,87.8906,89.7217,83.9233,72.937
0.00435,46.9971,61.9507,37.5366,68.3594,72.6318,66.5283,68.6646,72.937,57.6782,69.8853,68.6646,65.6128,75.3784,63.1714,68.9697,72.0215,68.0542,68.9697,63.1714,52.4902
0.0044,27.771,42.7246,17.395,48.5229,53.4058,46.6919,48.8281,53.7109,38.4521,50.354,49.4385,46.6919,55.542,43.9453,49.1333,52.1851,48.2178,49.7437,43.9453,32.6538
0.00445,10.9863,25.9399,1.2207,32.0435,36.3159,30.5176,32.0435,36.9263,22.2778,34.4849,32.6538,30.2124,38.7573,27.771,32.959,35.4004,32.0435,33.2642,27.1606,16.1743
0.0045,-1.2207,13.4277,-11.5967,19.8364,23.8037,17.7002,18.9209,24.1089,10.0708,21.6675,20.4468,17.395,25.9399,14.3433,19.8364,22.2778,19.2261,20.4468,14.0381,3.35693
0.00455,-10.9863,3.96729,-20.752,10.9863,15.2588,8.54492,10.0708,15.564,0.610352,12.5122,10.6812,8.23975,16.4795,5.18799,10.6812,13.4277,10.376,10.9863,5.18799,-5.49316
0.0046,-16.4795,-1.2207,-26.2451,5.18799,8.8501,2.44141,3.66211,9.76563,-4.88281,6.40869,4.88281,2.74658,10.9863,-0.915527,4.88281,7.32422,4.27246,5.18799,-0.610352,-11.5967
0.00465,-20.1416,-4.88281,-30.2124,1.52588,5.18799,-1.2207,0.305176,6.10352,-8.54492,2.74658,1.2207,-1.2207,7.01904,-4.57764,0.915527,3.35693,0.915527,1.52588,-3.96729,-15.2588
0.0047,-22.2778,-7.01904,-31.4331,0.0,2.74658,-2.74658,-1.52588,3.66211,-10.0708,1.2207,-0.915527,-3.35693,5.18799,-6.40869,-0.610352,1.2207,-0.915527,0.0,-6.71387,-17.0898
